,Reference,Year.published,Publication,Type.of.study,Year.study,Season,Location,Island.or.Mainland,Density..rats.ha...Mean..or.estimate..and.range,Mean.probability.survival.to.next.season,Dispersal.distance..metres.,Sex.ratio..female.male.,Sex.of.dispersers,Density.dependence,Male.home.range..ha..mean.and.range.,Female.home.range..ha..mean.and.range.,Movement.speed..metres.min..mean.and.range.,Number.of.embryos..mean.and.range.,Number.of.placental.scars..mean.and.range.,spp
94,Taylor & Thomas (1993) - Cited in Innes (in press),In press,Cited in book chapter: Handbook of the Mammals of New Zealand,Original research,NA,NA,Breaksea Island,Island,13,NA,,,NA,NA,,NA,,,,Nrat
93,Taylor (1986) - Cited in Innes (in press),In press,Cited in book chapter: Handbook of the Mammals of New Zealand,Original research,NA,NA,Campbell Island,Island,,NA,,1:01,NA,NA,,NA,,,,Nrat
19,Wilson & Lee (2010) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,2003-2004,"Spring, Summer, Autumn",Borland Valley,Mainland,Range: 0.02-1.8,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
20,Wilson & Lee (2010) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,2003-2004,"Spring, Summer, Autumn",Borland Valley,Mainland,Range: 0.4-38.6,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
21,Alterio et al.,NA,NZJE,Original research,1996,Winter,Maruia,Mainland,Derived minimum: 0.09,NA,NA,,,,,,,,,Srat
22,Bagsara et al.,NA,NZJE,Original research,2013,NA,Great Barrier Island,Island,,NA,80,,Male all,,,,,,,Srat
24,Best (1973) - Cited in Table 7 of Efford et al.,NA,NA,Original research,1966-1967,All,Waimangaroa,Mainland,,NA,NA,1:01,,,,,,5.9 (SD = 1.90),,Srat
25,Best (1973) - Cited in Table 7 of Efford et al.,NA,NA,Original research,1966-1967,All,Banks Peninsula,Mainland,,NA,NA,0.96:1,,,,,,5.9 (SD = 1.61),,Srat
26,Bettesworth & Anderson,NA,Tane,Original research,NA,NA,Whale Island,Island,,NA,NA,1:01,,,,,,,,Srat
28,Blackwell et al. ,NA,NZJE,Original research,1998,Winter,Te Urewera National Park,Mainland,8.2 (5.0-10.5),NA,NA,1.03:1,,,,,,,,Srat
29,Blackwell et al. ,NA,NZJE,Original research,1997,All,Te Urewera National Park,Mainland,,NA,NA,01:01.3,,,,,,,,Srat
32,Brown et al.,NA,NZJE,Original research,1994,Summer,Kaharoa,Mainland,6.7 (6.5-7.8),NA,NA,,,,,,,,,Srat
33,Carter et al.,NA,Biological Invasions,Original research,2013,Summer,Native Island,Island,Minimum derived: ,NA,NA,,,,,,,,,Srat
34,Christie et al.,NA,NZJE,Original research,2004-2005,Spring-Autumn,Eglington Valley,Mainland,0.38 (max: 0.48),NA,NA,,,,,,,,,Srat
35,Craig (1977) - Cited in Table 3 of Harper & Rutherford,NA,NA,Original research,NA,Autumn,Goat Island,Island,16 (12-20),NA,NA,,,,,,,,,Srat
36,Dowding & Murphy,NA,NZJE,Original research,1993,Spring,Puketi Forest,Mainland,2.9,NA,NA,,,,0.94 (0.52-1.93),0.79 (0.31-1.09),,,,Srat
39,Harper & Rutherford,NA,NZJE,Original research,2003 & 2004,Summer,Big South Cape Island,Island,11.7 (7.9-15.4),NA,NA,,,No DD in juvenile dispersal,0.14 (0.10-0.17),0.04 (0.02-0.05),4.7 (1-10),,,Srat
40,Harper & Rutherford,NA,NZJE,Original research,2003 & 2004,Autumn,Big South Cape Island,Island,30 (17-43),NA,NA,,,,,,,,,Srat
43,Innes & Skipworth,NA,NZJE,Original research,1976-1977,Summer,Palmeston North,Mainland,,NA,NA,,,,0.1,0.03 (0.025-0.04),,,,Srat
44,Innes (1977) - Cited in Russell & Innes (in press),NA,Cited in book chapter: Handbook of the Mammals of New Zealand,Original research,NA,NA,Tararua Rage,Mainland,,NA,NA,0.75:1,,,,,,,,Srat
47,Innes et al. (1977) - Cited in Table 7 of Efford et al. ,NA,NA,Original research,1976-1977,All,Tiritea,Mainland,,NA,NA,,,,,,,4.94 (SD = 1.31),,Srat
49,King & Moller,NA,Pacific Conservation Biology,Original research,1976-1978,All,Hollyford,Mainland,,NA,NA,,,,,,,5.99 (SD = 1.47),,Srat
50,King et al. ,NA,Biological Invasions,Original research,2008,Summer-Autumn,Hamilton,Mainland,3.6 (0-11.1),NA,NA,1:01,,,,,,,,Srat
59,Murphy & Bradfield,NA,NZJE,Original research,1989-1990,Summer,Mapara Reserve,Mainland,Derived minimum: 0.15,NA,NA,,,,,,,,,Srat
60,Nugent et al. ,NA,Wildlife Research,Original research,2005,Winter,Whirinaki,Mainland,1.33 (SE = 0.6),NA,NA,,,,,,,,,Srat
61,Nugent et al. ,NA,Wildlife Research,Original research,2005,Winter,Mokaihaha,Mainland,7.71 (SE = 1.7),NA,NA,,,,,,,,,Srat
